Task,User,Terms Used,Query States,Observations,OISS,Code,OISS Domain,Verbalization
2,User_2,osseous and muscular system,Initial State (IS),,Control,C1 ,Behavioral,0
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Trial and error,TE3 ,Procedural ,1
,,,,,Evaluation,E2 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
,,,,,Control,C6,Behavioral,1
,,,,,Control,C8,Behavioral,1
,,,,,Evaluation,E3 ,Metacognitive ,0
,,articular system,Word Substitution (WS),"used less words, but it changed the search's subject",Trial and error,TE1 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,0
,,articular system,Repeat (RP),,Purposeful Thinking,PT4,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI4 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E1 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
3,User_2,joint prosthesis,Initial State (IS),,Control,C1 ,Behavioral,0
,,,,,Control,C8,Behavioral,0
,,leg prosthesis,Word Substitution (WS),,Trial and error,TE1 ,Procedural ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,0
,,joint prosthesis,Return State (RS),,Trial and error,TE1 ,Procedural ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,0
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,joint prosthesis,Repeat (RP),,"Selection of the
main ideas",SMI1 ,Metacognitive ,1
,,,,,Purposeful Thinking,PT4,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI4 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
,,joint prosthesis experience,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,0
,,joint prosthesis before and after,Word Substitution (WS),,Control,C8,Behavioral,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
,,joint prosthesis yahoo answers,Word Substitution (WS),changed the search query from retrieve a situation to a specific website,"Selection of the
main ideas",SMI1 ,Metacognitive ,1
,,arthroplasty,Related (RE),,Trial and error,TE1 ,Procedural ,1
,,,,,Purposeful Thinking,PT4,Metacognitive ,0
,,,,,"Selection of the
main ideas",SMI4 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
,,recovery arthroplasty,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Purposeful Thinking,PT4,Metacognitive ,0
,,,,,"Selection of the
main ideas",SMI4 ,Metacognitive ,0
,,"""recovery arthroplasty""",Repeat (RP),decides to filter the retrived results by adding quote's signs,Control,C10 ,Behavioral,1
,,,,,Purposeful Thinking,PT4,Metacognitive ,0
,,,,,"Selection of the
main ideas",SMI4 ,Metacognitive ,1
,,total recovery arthroplasty,Specialization (SC),,Purposeful Thinking,PT4,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI4 ,Metacognitive ,0
,,arthroplasty restore strength,Word Substitution (WS),changed some words to new words with related meaning,Purposeful Thinking,PT4,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI4 ,Metacognitive ,0
,,arthroplasty restore strength,,,Control,C2 ,Behavioral,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
,,,,,Control,C6,Behavioral,0
,,arthroplasty,Generalization (GE),,"Selection of the
main ideas",SMI1 ,Metacognitive ,0
,,,,,Disorientation,D4 ,Behavioral,1
,,,,,Evaluation,E1 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
1,User_3,newton second law weight,Initial State (IS),,Control,C1 ,Behavioral,0
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,1
,,,,,Control,C6,Behavioral,1
,,newton second law concept weight,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Trial and error,TE3 ,Procedural ,0
,,,,,Evaluation,E2 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,0
,,concept density,Word Substitution (WS),"used less words, but it changed the search's subject",Trial and error,TE1 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI3 ,Metacognitive ,1
,,,,,Trial and error,TE3 ,Procedural ,0
,,,,,Evaluation,E2 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,0
2,User_3,muscles and bones of the human body,Initial State (IS),,Control,C1 ,Behavioral,0
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Trial and error,TE3 ,Procedural ,0
,,,,,Control,C8,Behavioral,1
,,,,,Control,C9,Behavioral,0
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E2 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,0
,,movable joints,New (NW),,Trial and error,TE1 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Control,C8,Behavioral,0
,,,,,Trial and error,TE3 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,0
,,,,,Evaluation,E2 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,0
3,User_3,prostheses movable joints,Initial State (IS),,Control,C1 ,Behavioral,0
,,,,,Control,C8,Behavioral,1
,,,,,Trial and error,TE3 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,"Selection of the
main ideas",SMI7 ,Metacognitive ,1
,,,,,Evaluation,E1 ,Metacognitive ,1
,,pianist glove,Related (RE),news article about a pianist using a muscle prosthetic glove,Trial and error,TE1 ,Procedural ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Trial and error,TE3 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,1
,,,,,Evaluation,E2 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,1
,,prosthesis concept,Related (RE),filtered the results to conceptual documents,Trial and error,TE1 ,Procedural ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Trial and error,TE3 ,Procedural ,1
,,,,,Control,C9,Behavioral,0
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,0
,,,,,Evaluation,E2 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,1
1,User_4,"weight, mass, volume and density",Initial State (IS),,Control,C1 ,Behavioral,0
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,"weight, mass, volume and density wikipedia",Specialization (SC),specified to get a particular result,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Trial and error,TE3 ,,0
,,,,,"Selection of the
main ideas",SMI1 ,Metacognitive ,1
,,,,,Evaluation,E2 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,1
2,User_4,biggest human bones,Initial State (IS),,Control,C1 ,Behavioral,0
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Control,C6,Behavioral,1
,,,,,Evaluation,E2 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,1
,,largest human body bones,Word Substitution (WS),included more words,"Selection of the
main ideas",SMI3 ,Metacognitive ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Control,C8,Behavioral,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,1
,,,,,Evaluation,E2 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
,,infographic largest human body bones,Specialization (SC),specification of a document type,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Evaluation,E2 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
,,,,,Control,C6,Behavioral,0
,,largest human body bones,Generalization (GE),returned to a previous query,Control,C8,Behavioral,0
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
,,second largest human body bones,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,0
,,,,,Control,C6,Behavioral,0
,,largest human body bones,Generalization (GE),returned to a previous query,"Selection of the
main ideas",SMI2 ,Metacognitive ,0
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E2 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
,,The Top Ten: Longest Bones in the Human Body,Word Substitution (WS),included more words,"Selection of the
main ideas",SMI2 ,Metacognitive ,0
,,,,,Purposeful Thinking,PT1,Metacognitive ,0
,,The Top Ten: muscles,Word Substitution (WS),changed search's subject,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E2 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
,,,,,Control,C8,Behavioral,1
,,largest muscles in the body,Word Substitution (WS),from recommendation system,"Selection of the
main ideas",SMI3 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
,,latissimus dorsi,Related (RE),,Control,C2 ,Behavioral,1
,,,,,Trial and error,TE1 ,Procedural ,0
,,,,,Purposeful Thinking,PT1,Metacognitive ,0
,,pectoralis major,Related (RE),,Control,C8,Behavioral,1
,,,,,Trial and error,TE1 ,Procedural ,0
,,,,,Purposeful Thinking,PT1,Metacognitive ,0
,,deltoid,Related (RE),,Control,C8,Behavioral,1
,,,,,Trial and error,TE1 ,Procedural ,0
,,,,,Purposeful Thinking,PT1,Metacognitive ,0
,,brachialis,Related (RE),,Control,C8,Behavioral,1
,,,,,Trial and error,TE1 ,Procedural ,0
,,,,,Purposeful Thinking,PT1,Metacognitive ,0
,,brachioradialis,Related (RE),,Control,C8,Behavioral,1
,,,,,Trial and error,TE1 ,Procedural ,0
,,,,,Purposeful Thinking,PT1,Metacognitive ,0
,,quadriceps femoris,Related (RE),,Control,C8,Behavioral,1
,,,,,Trial and error,TE1 ,Procedural ,0
,,,,,Purposeful Thinking,PT1,Metacognitive ,0
,,iliopsoas,Related (RE),,Control,C8,Behavioral,1
,,,,,Trial and error,TE1 ,Procedural ,0
,,,,,Purposeful Thinking,PT1,Metacognitive ,0
,,sartorius,Related (RE),,Control,C8,Behavioral,1
,,,,,Trial and error,TE1 ,Procedural ,0
,,,,,Purposeful Thinking,PT1,Metacognitive ,0
,,movable joints,New (NW),,Control,C2 ,Behavioral,0
,,,,,Trial and error,TE1 ,Procedural ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
,,movable joints examples,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Control,C8,Behavioral,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
3,User_4,protesis limb,Initial State (IS),,Control,C1 ,Behavioral,0
,,,,,Control,C8,Behavioral,0
,,prosthesis limb,Repeat (RP),from recommendation system,"Selection of the
main ideas",SMI3 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
,,prosthesis limb for movable joints,Specialization (SC),,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI5 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E2 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
1,User_5,"mass, weight, volume and density",Initial State (IS),Google search engine,Control,C1,Behavioral,1
,,,,Hit Google's I'm Feeling Lucky button,Control,C10,Behavioral,0
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Evaluation,E4,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,,,,Select Main Ideas,SMI4,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,0
2,User_5,main bones of the human body,Initial State (IS),Search from Chrome's address bar,Control,C4,Behavioral,1
,,,,,Select Main Ideas,SMI2,Metacognitive,0
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,biggest bones in the human body,Word Substitution (WS),Search from Chrome's address bar,Control,C4,Behavioral,1
,,,,,Trial and Error,TE1,Procedural,0
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
,,main muscles of the human body,Word Substitution (WS),Search from Chrome's address bar,Control,C4,Behavioral,1
,,,,,Select Main Ideas,SMI2,Metacognitive,0
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI8,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E2,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
,,pairs of movable junction of the human body,Word Substitution (WS),Search from Chrome's address bar,Control,C4,Behavioral,0
,,,,,Select Main Ideas,SMI2,Metacognitive,0
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Control,C6,Behavioral,0
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,pairs of movable joint of the human body,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
,,"pairs of ""movable joint"" of the human body",Repeat (RP),,Problem-Solving,PS1,Procedural,1
,,,,,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI8,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,,,Clicked at the second SERP,Select Main Ideas,SMI4,Metacognitive,1
,,,,Opend up a Word document from the SERP's link,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI8,Metacognitive,1
,,knee joint,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Purposeful Thinking,PT3,Metacognitive,0
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,elbow joint,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI4,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,foot joint,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,upper ankle joint,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Control,C8,Behavioral,1
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,finger joint,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,1
,,finger phalanx joints,Specialization (SC),,Select Main Ideas,SMI3,Metacognitive,1
,,,,,Purposeful Thinking,PT1,Metacognitive,0
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,hand joints,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,hand joint,Repeat (RP),,Problem-Solving,PS1,Procedural,1
,,,,changed to image tab,Control,C8,Behavioral,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,wrist joint,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,1
,,,,changed to all tab,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,radio-carpal joint,Word Substitution (WS),,Select Main Ideas,SMI2,Metacognitive,1
,,,,changed to image tab,Control,C8,Behavioral,1
,,,,,Select Main Ideas,SMI4,Metacognitive,0
,,,,,Select Main Ideas,SMI8,Metacognitive,1
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Evaluation,E1,Metacognitive,0
,,,,,Evaluation,E2,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
3,User_5,Movable joint prostheses,Initial State (IS),Search from Chrome's address bar,Select Main Ideas,SMI2,Metacognitive,1
,,"""Movable joint"" prostheses",Repeat (RP),,Problem-Solving,PS1,Procedural,1
,,"""Movable joint"" prostheses caractheristics",Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,0
,,,,changed to image tab,Control,C8,Behavioral,0
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,Movable joint prostheses caractheristics,Repeat (RP),,Problem-Solving,PS1,Procedural,1
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,"Features ""prostheses and orthoses"" ""moving joints""",Specialization (SC),,Select Main Ideas,SMI2,Metacognitive,0
,,,,,Purposeful Thinking,PT1,Metacognitive,0
,,,,,Select Main Ideas,SMI4,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Control,C6,Behavioral,1
,,"Features prostheses and orthoses ""moving joints""",Repeat (RP),,Problem-Solving,PS1,Procedural,1
,,Features prostheses and orthoses ,Generalization (GE),,Trial and Error,TE1,Procedural,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
,,Technical features of prostheses and orthoses,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
,,"""Technical features"" of prostheses and orthoses",Repeat (RP),Opened up a pdf file,Problem-Solving,PS1,Procedural,1
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,,,Opened up a pdf file,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,Prostheses orthoses physical features,Word Substitution (WS),Opened up a pdf file,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI8,Metacognitive,0
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,The orthoses classification system,Word Substitution (WS),,Trial and Error,TE1,Procedural,1
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Control,C6,Behavioral,1
,,The sco orthoses classification system,Specialization (SC),Opened up a pdf file,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Control,C6,Behavioral,1
,,,,Opened up a pdf file,Select Main Ideas,SMI4,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI8,Metacognitive,1
,,,,,Evaluation,E3,Metacognitive,1
,,,,,Evaluation,E1,Metacognitive,0
,,,,,Evaluation,E4,Metacognitive,1
1,User_6,What is weight physics,Initial State (IS),Opened up Google's site,Control,C1,Behavioral,1
,,,,,Control,C2,Behavioral,1
,,,,,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,,,,Control,C6,Behavioral,1
,,What is mass physics,Word Substitution (WS),Read the concept at Google's box,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Control,C6,Behavioral,1
,,What is density and volume physics,Word Substitution (WS),Read Google's feedback box,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI2,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,1
,,What is volume physics,Generalization (GE),,Purposeful Thinking,PT1,Metacognitive,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Control,C6,Behavioral,0
,,,,,Trial and Error,TE3,Procedural,1
,,,,,Select Main Ideas,SMI6,Metacognitive,0
,,,,,Select Main Ideas,SMI7,Metacognitive,0
,,,,,Evaluation,E1,Metacognitive,0
,,,,,Evaluation,E2,Metacognitive,0
,,,,,Evaluation,E3,Metacognitive,0
,,,,Sent the written answer later on by Google Chat,Evaluation,E4,Metacognitive,0
2,User_6,human body main bones and muscles,Initial State (IS),Tries to identify the context's domain at the search string,Select Main Ideas,SMI3,Metacognitive,1
,,,,Evaluated the SERP,Evaluation,E3,Metacognitive,0
